Name,Predict,Ground Truth
1.jpg,3734.36474609375,4631
10.jpg,760.363037109375,700
11.jpg,639.9693603515625,484
12.jpg,444.8187255859375,581
13.jpg,883.267333984375,730
14.jpg,680.658203125,2961
15.jpg,2.641735076904297,1543
16.jpg,277.8381042480469,209
17.jpg,321.3748779296875,361
18.jpg,590.86962890625,682
19.jpg,1.5639333724975586,754
2.jpg,1303.6856689453125,1940
20.jpg,1065.396484375,2705
21.jpg,309.5751037597656,376
22.jpg,603.187744140625,967
23.jpg,680.3873291015625,679
24.jpg,1067.8699951171875,1566
25.jpg,627.096923828125,890
26.jpg,984.5350952148438,2391
27.jpg,823.7437133789062,1858
28.jpg,1654.3358154296875,1739
29.jpg,799.2073974609375,1601
3.jpg,2139.90185546875,2364
30.jpg,159.0694580078125,248
31.jpg,1822.470458984375,1998
32.jpg,504.8739013671875,562
33.jpg,349.70294189453125,311
34.jpg,469.5623168945313,1115
35.jpg,1530.1572265625,1050
36.jpg,675.9234619140625,2105
37.jpg,2072.84912109375,917
38.jpg,519.193359375,440
39.jpg,154.66909790039062,164
4.jpg,79.58140563964844,96
40.jpg,1241.7840576171875,1037
41.jpg,1690.16357421875,1284
42.jpg,472.37786865234375,329
43.jpg,1.1783497333526611,947
44.jpg,1151.276123046875,2358
45.jpg,1940.321044921875,1451
46.jpg,1710.8868408203125,1366
47.jpg,3008.3486328125,1961
48.jpg,2256.11328125,2372
49.jpg,867.8038940429688,588
5.jpg,671.984130859375,469
50.jpg,513.5369873046875,440
6.jpg,192.92349243164065,2549
7.jpg,642.73876953125,648
8.jpg,416.6747131347656,1046
9.jpg,386.15325927734375,3406
